100
0 1-52; 2-48; 3-81; 4-60; 5-7; 6-28; 7-91; 8-54; 9-86; 10-2; 11-99; 12-17; 13-61; 14-76; 15-77; 16-71; 17-22; 18-78; 19-61; 20-43; 21-54; 22-95; 23-96; 24-89; 25-15; 26-21; 27-17; 28-88; 29-42; 30-71; 31-11; 32-55; 33-42; 34-99; 35-33; 36-72; 37-25; 38-31; 39-7; 40-23; 41-15; 42-79; 43-98; 44-44; 45-31; 46-30; 47-2; 48-30; 49-82; 50-19; 51-71; 52-29; 53-96; 54-63; 55-31; 56-34; 57-49; 58-43; 59-60; 60-47; 61-79; 62-84; 63-9; 64-91; 65-52; 66-17; 67-9; 68-12; 69-60; 70-67; 71-58; 72-12; 73-45; 74-52; 75-32; 76-55; 77-1; 78-45; 79-52; 80-44; 81-11; 82-95; 83-35; 84-31; 85-70; 86-93; 87-33; 88-46; 89-88; 90-83; 91-90; 92-99; 93-64; 94-57; 95-79; 96-77; 97-71; 98-69; 99-79;
27 0-17; 1-93; 2-86; 3-88; 4-93; 5-79; 6-68; 7-19; 8-69; 9-61; 10-80; 11-90; 12-75; 13-97; 14-19; 15-96; 16-61; 17-79; 18-66; 19-66; 20-67; 21-24; 22-22; 23-0; 24-59; 25-64; 26-41; 28-59; 29-3; 30-63; 31-3; 32-75; 33-27; 34-85; 35-27; 36-77; 37-97; 38-35; 39-1; 40-6; 41-70; 42-80; 43-19; 44-44; 45-66; 46-8; 47-97; 48-35; 49-19; 50-53; 51-29; 52-50; 53-27; 54-40; 55-89; 56-97; 57-67; 58-96; 59-9; 60-63; 61-10; 62-74; 63-95; 64-79; 65-30; 66-43; 67-83; 68-60; 69-36; 70-35; 71-96; 72-37; 73-42; 74-42; 75-88; 76-85; 77-95; 78-22; 79-21; 80-6; 81-46; 82-39; 83-71; 84-60; 85-55; 86-77; 87-26; 88-25; 89-17; 90-5; 91-67; 92-98; 93-70; 94-34; 95-33; 96-53; 97-98; 98-89; 99-71;
28 0-88; 1-54; 2-51; 3-19; 4-32; 5-17; 6-34; 7-10; 8-42; 9-20; 10-7; 11-82; 12-67; 13-77; 14-47; 15-7; 16-12; 17-6; 18-90; 19-45; 20-99; 21-69; 22-87; 23-4; 24-84; 25-42; 26-41; 27-59; 29-88; 30-70; 31-68; 32-23; 33-46; 34-53; 35-57; 36-82; 37-49; 38-55; 39-15; 40-3; 41-22; 42-54; 43-78; 44-77; 45-78; 46-15; 47-22; 48-91; 49-28; 50-60; 51-45; 52-55; 53-34; 54-60; 55-42; 56-88; 57-83; 58-57; 59-54; 60-30; 61-38; 62-27; 63-8; 64-31; 65-83; 66-69; 67-74; 68-99; 69-78; 70-91; 71-14; 72-44; 73-66; 74-53; 75-78; 76-93; 77-47; 78-15; 79-21; 80-39; 81-83; 82-38; 83-30; 84-89; 85-60; 86-91; 87-49; 88-25; 89-25; 90-79; 91-31; 92-42; 93-20; 94-82; 95-23; 96-26; 97-8; 98-24; 99-86;
29 0-42; 1-22; 2-79; 3-17; 4-95; 5-34; 6-17; 7-42; 8-18; 9-33; 10-27; 11-73; 12-26; 13-15; 14-16; 15-0; 16-50; 17-39; 18-0; 19-5; 20-40; 21-65; 22-62; 23-37; 24-33; 25-72; 26-50; 27-3; 28-88; 30-70; 31-34; 32-57; 33-89; 34-31; 35-96; 36-33; 37-34; 38-97; 39-95; 40-64; 41-14; 42-3; 43-35; 44-76; 45-51; 46-35; 47-90; 48-9; 49-47; 50-42; 51-18; 52-8; 53-31; 54-65; 55-87; 56-21; 57-78; 58-75; 59-4; 60-6; 61-97; 62-41; 63-16; 64-23; 65-60; 66-97; 67-64; 68-5; 69-89; 70-36; 71-59; 72-42; 73-50; 74-15; 75-19; 76-75; 77-40; 78-97; 79-95; 80-19; 81-92; 82-56; 83-16; 84-12; 85-51; 86-80; 87-72; 88-13; 89-64; 90-37; 91-24; 92-59; 93-93; 94-83; 95-7; 96-15; 97-34; 98-14; 99-65;
30 0-71; 1-40; 2-90; 3-85; 4-18; 5-53; 6-62; 7-87; 8-70; 9-60; 10-65; 11-31; 12-67; 13-70; 14-3; 15-88; 16-55; 17-4; 18-96; 19-17; 20-46; 21-7; 22-77; 23-89; 24-27; 25-49; 26-67; 27-63; 28-70; 29-70; 31-63; 32-18; 33-98; 34-37; 35-88; 36-23; 37-51; 38-19; 39-31; 40-66; 41-46; 42-62; 43-31; 44-55; 45-95; 46-50; 47-58; 48-75; 49-76; 50-55; 51-22; 52-46; 53-21; 54-51; 55-21; 56-52; 57-27; 58-42; 59-72; 60-60; 61-99; 62-13; 63-73; 64-46; 65-97; 66-63; 67-19; 68-39; 69-99; 70-43; 71-88; 72-49; 73-63; 74-73; 75-38; 76-87; 77-27; 78-11; 79-18; 80-1; 81-48; 82-51; 83-31; 84-44; 85-66; 86-95; 87-80; 88-73; 89-22; 90-3; 91-35; 92-15; 93-57; 94-33; 95-91; 96-80; 97-91; 98-7; 99-73;
31 0-11; 1-7; 2-6; 3-15; 4-88; 5-74; 6-32; 7-30; 8-54; 9-75; 10-42; 11-54; 12-93; 13-26; 14-90; 15-56; 16-80; 17-78; 18-31; 19-39; 20-54; 21-39; 22-46; 23-77; 24-75; 25-15; 26-24; 27-3; 28-68; 29-34; 30-63; 32-9; 33-50; 34-29; 35-0; 36-7; 37-12; 38-15; 39-8; 40-16; 41-8; 42-67; 43-88; 44-84; 45-28; 46-19; 47-98; 48-36; 49-48; 50-5; 51-56; 52-35; 53-21; 54-40; 55-60; 56-12; 57-41; 58-87; 59-97; 60-72; 61-24; 62-4; 63-76; 64-57; 65-22; 66-75; 67-29; 68-22; 69-36; 70-11; 71-13; 72-74; 73-60; 74-87; 75-49; 76-20; 77-36; 78-5; 79-39; 80-82; 81-10; 82-15; 83-12; 84-73; 85-90; 86-14; 87-47; 88-34; 89-41; 90-24; 91-63; 92-5; 93-90; 94-3; 95-33; 96-69; 97-0; 98-90; 99-70;
32 0-55; 1-11; 2-66; 3-45; 4-63; 5-94; 6-37; 7-64; 8-3; 9-3; 10-29; 11-64; 12-20; 13-12; 14-5; 15-45; 16-11; 17-88; 18-31; 19-25; 20-28; 21-74; 22-90; 23-27; 24-94; 25-90; 26-5; 27-75; 28-23; 29-57; 30-18; 31-9; 33-35; 34-83; 35-77; 36-76; 37-35; 38-68; 39-14; 40-36; 41-35; 42-63; 43-4; 44-29; 45-80; 46-22; 47-5; 48-82; 49-86; 50-41; 51-65; 52-9; 53-92; 54-95; 55-46; 56-39; 57-7; 58-23; 59-42; 60-47; 61-50; 62-6; 63-77; 64-90; 65-60; 66-46; 67-4; 68-44; 69-93; 70-8; 71-40; 72-44; 73-17; 74-67; 75-49; 76-34; 77-41; 78-57; 79-99; 80-34; 81-65; 82-96; 83-12; 84-52; 85-10; 86-26; 87-15; 88-70; 89-88; 90-16; 91-50; 92-60; 93-16; 94-94; 95-32; 96-1; 97-32; 98-43; 99-66;
33 0-42; 1-26; 2-95; 3-28; 4-0; 5-77; 6-0; 7-0; 8-54; 9-2; 10-17; 11-57; 12-0; 13-82; 14-38; 15-70; 16-40; 17-75; 18-87; 19-72; 20-6; 21-37; 22-41; 23-76; 24-4; 25-92; 26-85; 27-27; 28-46; 29-89; 30-98; 31-50; 32-35; 34-86; 35-54; 36-93; 37-20; 38-53; 39-61; 40-8; 41-22; 42-65; 43-92; 44-4; 45-76; 46-49; 47-55; 48-65; 49-67; 50-89; 51-32; 52-9; 53-66; 54-34; 55-98; 56-57; 57-74; 58-22; 59-13; 60-66; 61-77; 62-55; 63-71; 64-7; 65-50; 66-19; 67-58; 68-54; 69-11; 70-79; 71-46; 72-98; 73-95; 74-57; 75-5; 76-91; 77-14; 78-32; 79-27; 80-60; 81-84; 82-76; 83-57; 84-53; 85-62; 86-6; 87-17; 88-0; 89-25; 90-80; 91-51; 92-20; 93-15; 94-67; 95-79; 96-12; 97-17; 98-52; 99-27;
34 0-99; 1-30; 2-95; 3-82; 4-31; 5-68; 6-96; 7-45; 8-68; 9-24; 10-44; 11-13; 12-37; 13-82; 14-52; 15-29; 16-13; 17-21; 18-29; 19-80; 20-81; 21-20; 22-93; 23-46; 24-42; 25-96; 26-69; 27-85; 28-53; 29-31; 30-37; 31-29; 32-83; 33-86; 35-33; 36-24; 37-52; 38-30; 39-77; 40-91; 41-76; 42-47; 43-49; 44-57; 45-41; 46-90; 47-30; 48-23; 49-72; 50-97; 51-17; 52-63; 53-47; 54-66; 55-51; 56-61; 57-0; 58-74; 59-13; 60-3; 61-57; 62-55; 63-20; 64-81; 65-66; 66-36; 67-14; 68-18; 69-20; 70-82; 71-22; 72-75; 73-46; 74-59; 75-89; 76-6; 77-52; 78-20; 79-16; 80-54; 81-27; 82-61; 83-47; 84-26; 85-19; 86-45; 87-87; 88-84; 89-6; 90-47; 91-62; 92-62; 93-22; 94-38; 95-49; 96-15; 97-6; 98-4; 99-71;
35 0-33; 1-79; 2-7; 3-28; 4-79; 5-64; 6-47; 7-76; 8-39; 9-16; 10-23; 11-36; 12-96; 13-37; 14-91; 15-59; 16-33; 17-46; 18-29; 19-49; 20-97; 21-80; 22-45; 23-85; 24-72; 25-22; 26-67; 27-27; 28-57; 29-96; 30-88; 31-0; 32-77; 33-54; 34-33; 36-3; 37-68; 38-23; 39-70; 40-66; 41-6; 42-60; 43-11; 44-32; 45-31; 46-12; 47-40; 48-64; 49-89; 50-64; 51-38; 52-26; 53-24; 54-92; 55-95; 56-63; 57-46; 58-72; 59-58; 60-3; 61-30; 62-76; 63-75; 64-88; 65-9; 66-24; 67-43; 68-81; 69-79; 70-5; 71-74; 72-76; 73-90; 74-68; 75-33; 76-25; 77-54; 78-66; 79-11; 80-15; 81-44; 82-59; 83-23; 84-6; 85-66; 86-73; 87-39; 88-92; 89-87; 90-25; 91-8; 92-84; 93-42; 94-22; 95-52; 96-17; 97-50; 98-1; 99-34;
36 0-72; 1-99; 2-92; 3-99; 4-34; 5-10; 6-12; 7-92; 8-19; 9-93; 10-87; 11-25; 12-77; 13-11; 14-41; 15-85; 16-42; 17-4; 18-60; 19-75; 20-21; 21-89; 22-65; 23-3; 24-10; 25-73; 26-86; 27-77; 28-82; 29-33; 30-23; 31-7; 32-76; 33-93; 34-24; 35-3; 37-2; 38-3; 39-10; 40-81; 41-72; 42-30; 43-62; 44-47; 45-54; 46-30; 47-89; 48-64; 49-2; 50-76; 51-99; 52-82; 53-45; 54-44; 55-92; 56-47; 57-60; 58-35; 59-28; 60-12; 61-83; 62-58; 63-46; 64-58; 65-53; 66-17; 67-30; 68-37; 69-52; 70-65; 71-73; 72-33; 73-65; 74-84; 75-52; 76-4; 77-59; 78-64; 79-27; 80-14; 81-56; 82-52; 83-16; 84-86; 85-61; 86-63; 87-26; 88-34; 89-54; 90-69; 91-31; 92-48; 93-8; 94-86; 95-82; 96-68; 97-84; 98-11; 99-86;
37 0-25; 1-82; 2-45; 3-53; 4-91; 5-39; 6-69; 7-95; 8-59; 9-41; 10-48; 11-41; 12-43; 13-26; 14-1; 15-81; 16-80; 17-83; 18-18; 19-85; 20-26; 21-85; 22-12; 23-39; 24-73; 25-37; 26-9; 27-97; 28-49; 29-34; 30-51; 31-12; 32-35; 33-20; 34-52; 35-68; 36-2; 38-86; 39-62; 40-86; 41-32; 42-99; 43-24; 44-98; 45-83; 46-16; 47-73; 48-42; 49-21; 50-43; 51-59; 52-34; 53-36; 54-51; 55-33; 56-74; 57-93; 58-36; 59-84; 60-15; 61-32; 62-96; 63-25; 64-36; 65-97; 66-50; 67-73; 68-63; 69-49; 70-32; 71-42; 72-38; 73-3; 74-24; 75-14; 76-77; 77-65; 78-91; 79-57; 80-30; 81-84; 82-13; 83-91; 84-14; 85-5; 86-35; 87-45; 88-40; 89-32; 90-78; 91-36; 92-38; 93-15; 94-79; 95-8; 96-43; 97-81; 98-88; 99-8;
38 0-31; 1-5; 2-80; 3-24; 4-23; 5-74; 6-28; 7-72; 8-36; 9-30; 10-28; 11-75; 12-31; 13-1; 14-1; 15-94; 16-26; 17-21; 18-15; 19-4; 20-76; 21-15; 22-5; 23-18; 24-69; 25-15; 26-16; 27-35; 28-55; 29-97; 30-19; 31-15; 32-68; 33-53; 34-30; 35-23; 36-3; 37-86; 39-91; 40-50; 41-39; 42-46; 43-21; 44-76; 45-11; 46-60; 47-97; 48-23; 49-87; 50-70; 51-18; 52-12; 53-93; 54-96; 55-78; 56-56; 57-43; 58-63; 59-23; 60-17; 61-64; 62-46; 63-55; 64-16; 65-35; 66-23; 67-14; 68-65; 69-30; 70-92; 71-69; 72-41; 73-13; 74-50; 75-62; 76-45; 77-22; 78-34; 79-30; 80-75; 81-94; 82-59; 83-70; 84-11; 85-25; 86-83; 87-87; 88-84; 89-68; 90-29; 91-96; 92-97; 93-97; 94-0; 95-82; 96-12; 97-9; 98-29; 99-92;
39 0-7; 1-67; 2-60; 3-86; 4-7; 5-87; 6-50; 7-46; 8-5; 9-38; 10-98; 11-39; 12-79; 13-63; 14-26; 15-40; 16-97; 17-85; 18-68; 19-83; 20-28; 21-59; 22-26; 23-26; 24-67; 25-33; 26-75; 27-1; 28-15; 29-95; 30-31; 31-8; 32-14; 33-61; 34-77; 35-70; 36-10; 37-62; 38-91; 40-69; 41-57; 42-41; 43-26; 44-91; 45-52; 46-70; 47-43; 48-53; 49-7; 50-70; 51-0; 52-35; 53-40; 54-77; 55-10; 56-54; 57-5; 58-39; 59-92; 60-62; 61-54; 62-88; 63-90; 64-53; 65-12; 66-63; 67-98; 68-34; 69-70; 70-7; 71-58; 72-64; 73-82; 74-25; 75-68; 76-9; 77-17; 78-90; 79-56; 80-68; 81-56; 82-0; 83-66; 84-40; 85-24; 86-24; 87-30; 88-59; 89-93; 90-79; 91-69; 92-72; 93-82; 94-32; 95-49; 96-89; 97-50; 98-28; 99-40;
40 0-23; 1-38; 2-45; 3-13; 4-30; 5-19; 6-49; 7-66; 8-78; 9-68; 10-17; 11-44; 12-10; 13-86; 14-94; 15-41; 16-40; 17-43; 18-85; 19-99; 20-9; 21-2; 22-58; 23-15; 24-98; 25-53; 26-2; 27-6; 28-3; 29-64; 30-66; 31-16; 32-36; 33-8; 34-91; 35-66; 36-81; 37-86; 38-50; 39-69; 41-13; 42-59; 43-17; 44-49; 45-69; 46-72; 47-20; 48-31; 49-89; 50-36; 51-28; 52-72; 53-79; 54-79; 55-20; 56-21; 57-3; 58-69; 59-13; 60-21; 61-99; 62-49; 63-10; 64-81; 65-62; 66-84; 67-75; 68-25; 69-39; 70-41; 71-90; 72-16; 73-39; 74-54; 75-73; 76-0; 77-66; 78-95; 79-91; 80-50; 81-80; 82-29; 83-20; 84-51; 85-28; 86-9; 87-77; 88-27; 89-89; 90-8; 91-61; 92-33; 93-29; 94-92; 95-31; 96-61; 97-33; 98-79; 99-49;
41 0-15; 1-42; 2-6; 3-36; 4-46; 5-72; 6-90; 7-75; 8-63; 9-66; 10-91; 11-50; 12-49; 13-36; 14-63; 15-12; 16-70; 17-0; 18-64; 19-47; 20-27; 21-90; 22-97; 23-66; 24-88; 25-31; 26-50; 27-70; 28-22; 29-14; 30-46; 31-8; 32-35; 33-22; 34-76; 35-6; 36-72; 37-32; 38-39; 39-57; 40-13; 42-89; 43-10; 44-27; 45-51; 46-55; 47-52; 48-67; 49-49; 50-21; 51-47; 52-90; 53-0; 54-60; 55-85; 56-56; 57-25; 58-63; 59-51; 60-28; 61-84; 62-66; 63-19; 64-85; 65-6; 66-59; 67-42; 68-82; 69-51; 70-26; 71-43; 72-37; 73-30; 74-74; 75-39; 76-95; 77-43; 78-63; 79-61; 80-60; 81-9; 82-89; 83-79; 84-67; 85-37; 86-19; 87-79; 88-93; 89-69; 90-41; 91-57; 92-25; 93-54; 94-22; 95-96; 96-91; 97-49; 98-37; 99-51;
42 0-79; 1-52; 2-5; 3-18; 4-22; 5-42; 6-66; 7-45; 8-30; 9-59; 10-68; 11-64; 12-92; 13-1; 14-30; 15-40; 16-61; 17-46; 18-83; 19-74; 20-51; 21-63; 22-51; 23-24; 24-71; 25-11; 26-11; 27-80; 28-54; 29-3; 30-62; 31-67; 32-63; 33-65; 34-47; 35-60; 36-30; 37-99; 38-46; 39-41; 40-59; 41-89; 43-33; 44-31; 45-11; 46-47; 47-66; 48-80; 49-35; 50-80; 51-52; 52-79; 53-28; 54-78; 55-91; 56-59; 57-65; 58-96; 59-26; 60-78; 61-55; 62-58; 63-34; 64-98; 65-60; 66-25; 67-68; 68-69; 69-86; 70-60; 71-19; 72-23; 73-92; 74-96; 75-44; 76-56; 77-33; 78-50; 79-25; 80-27; 81-39; 82-20; 83-5; 84-31; 85-27; 86-87; 87-81; 88-26; 89-46; 90-23; 91-8; 92-67; 93-44; 94-9; 95-13; 96-67; 97-36; 98-31; 99-12;
43 0-98; 1-87; 2-8; 3-12; 4-0; 5-98; 6-95; 7-26; 8-54; 9-55; 10-92; 11-6; 12-9; 13-83; 14-57; 15-25; 16-82; 17-15; 18-37; 19-97; 20-48; 21-80; 22-73; 23-91; 24-23; 25-2; 26-96; 27-19; 28-78; 29-35; 30-31; 31-88; 32-4; 33-92; 34-49; 35-11; 36-62; 37-24; 38-21; 39-26; 40-17; 41-10; 42-33; 44-66; 45-84; 46-61; 47-43; 48-77; 49-84; 50-68; 51-63; 52-32; 53-74; 54-94; 55-61; 56-55; 57-83; 58-10; 59-88; 60-27; 61-72; 62-33; 63-11; 64-65; 65-32; 66-11; 67-61; 68-24; 69-3; 70-6; 71-55; 72-50; 73-52; 74-95; 75-24; 76-47; 77-33; 78-68; 79-27; 80-0; 81-0; 82-72; 83-66; 84-99; 85-93; 86-65; 87-73; 88-36; 89-26; 90-32; 91-92; 92-82; 93-81; 94-37; 95-35; 96-84; 97-20; 98-11; 99-43;
44 0-44; 1-29; 2-86; 3-57; 4-13; 5-14; 6-18; 7-57; 8-21; 9-63; 10-51; 11-81; 12-16; 13-52; 14-37; 15-64; 16-92; 17-72; 18-27; 19-31; 20-44; 21-56; 22-48; 23-5; 24-69; 25-6; 26-73; 27-44; 28-77; 29-76; 30-55; 31-84; 32-29; 33-4; 34-57; 35-32; 36-47; 37-98; 38-76; 39-91; 40-49; 41-27; 42-31; 43-66; 45-73; 46-16; 47-31; 48-53; 49-74; 50-14; 51-55; 52-40; 53-25; 54-21; 55-88; 56-56; 57-60; 58-55; 59-4; 60-71; 61-83; 62-61; 63-29; 64-96; 65-67; 66-63; 67-82; 68-39; 69-43; 70-64; 71-35; 72-32; 73-0; 74-28; 75-66; 76-40; 77-5; 78-83; 79-21; 80-65; 81-77; 82-22; 83-69; 84-39; 85-79; 86-11; 87-27; 88-91; 89-69; 90-28; 91-57; 92-70; 93-59; 94-27; 95-86; 96-19; 97-52; 98-2; 99-85;
45 0-31; 1-67; 2-71; 3-28; 4-41; 5-70; 6-9; 7-52; 8-73; 9-98; 10-11; 11-79; 12-93; 13-39; 14-85; 15-86; 16-96; 17-13; 18-56; 19-82; 20-92; 21-62; 22-90; 23-63; 24-70; 25-86; 26-13; 27-66; 28-78; 29-51; 30-95; 31-28; 32-80; 33-76; 34-41; 35-31; 36-54; 37-83; 38-11; 39-52; 40-69; 41-51; 42-11; 43-84; 44-73; 46-69; 47-72; 48-43; 49-44; 50-68; 51-20; 52-36; 53-28; 54-15; 55-58; 56-95; 57-39; 58-42; 59-1; 60-77; 61-38; 62-50; 63-50; 64-71; 65-62; 66-52; 67-76; 68-21; 69-52; 70-90; 71-52; 72-95; 73-59; 74-17; 75-94; 76-90; 77-28; 78-55; 79-39; 80-96; 81-51; 82-92; 83-40; 84-62; 85-99; 86-80; 87-20; 88-27; 89-68; 90-78; 91-94; 92-4; 93-52; 94-77; 95-46; 96-29; 97-44; 98-23; 99-84;
46 0-30; 1-86; 2-96; 3-16; 4-55; 5-69; 6-71; 7-21; 8-48; 9-60; 10-29; 11-67; 12-36; 13-88; 14-63; 15-29; 16-76; 17-45; 18-65; 19-24; 20-88; 21-4; 22-5; 23-26; 24-97; 25-31; 26-67; 27-8; 28-15; 29-35; 30-50; 31-19; 32-22; 33-49; 34-90; 35-12; 36-30; 37-16; 38-60; 39-70; 40-72; 41-55; 42-47; 43-61; 44-16; 45-69; 47-39; 48-91; 49-75; 50-51; 51-45; 52-1; 53-19; 54-21; 55-45; 56-27; 57-46; 58-54; 59-22; 60-30; 61-55; 62-78; 63-51; 64-4; 65-90; 66-68; 67-68; 68-38; 69-81; 70-50; 71-3; 72-72; 73-55; 74-90; 75-53; 76-27; 77-83; 78-90; 79-0; 80-44; 81-0; 82-57; 83-62; 84-27; 85-91; 86-32; 87-21; 88-8; 89-32; 90-14; 91-33; 92-78; 93-56; 94-27; 95-2; 96-80; 97-70; 98-21; 99-66;
47 0-2; 1-94; 2-98; 3-27; 4-35; 5-77; 6-85; 7-32; 8-42; 9-47; 10-7; 11-16; 12-80; 13-79; 14-29; 15-40; 16-6; 17-19; 18-35; 19-40; 20-22; 21-15; 22-49; 23-4; 24-56; 25-56; 26-17; 27-97; 28-22; 29-90; 30-58; 31-98; 32-5; 33-55; 34-30; 35-40; 36-89; 37-73; 38-97; 39-43; 40-20; 41-52; 42-66; 43-43; 44-31; 45-72; 46-39; 48-64; 49-79; 50-65; 51-31; 52-19; 53-25; 54-75; 55-56; 56-21; 57-66; 58-53; 59-67; 60-46; 61-0; 62-51; 63-98; 64-72; 65-51; 66-71; 67-99; 68-23; 69-33; 70-83; 71-74; 72-85; 73-7; 74-35; 75-7; 76-96; 77-57; 78-22; 79-1; 80-26; 81-40; 82-29; 83-98; 84-9; 85-42; 86-57; 87-23; 88-66; 89-38; 90-83; 91-7; 92-35; 93-32; 94-92; 95-63; 96-81; 97-6; 98-22; 99-0;
48 0-30; 1-14; 2-42; 3-90; 4-44; 5-63; 6-27; 7-49; 8-34; 9-84; 10-83; 11-88; 12-20; 13-55; 14-33; 15-37; 16-84; 17-95; 18-22; 19-50; 20-98; 21-99; 22-26; 23-42; 24-64; 25-7; 26-91; 27-35; 28-91; 29-9; 30-75; 31-36; 32-82; 33-65; 34-23; 35-64; 36-64; 37-42; 38-23; 39-53; 40-31; 41-67; 42-80; 43-77; 44-53; 45-43; 46-91; 47-64; 49-86; 50-17; 51-88; 52-63; 53-20; 54-28; 55-6; 56-27; 57-97; 58-76; 59-46; 60-87; 61-56; 62-25; 63-30; 64-96; 65-95; 66-97; 67-69; 68-71; 69-39; 70-4; 71-62; 72-72; 73-3; 74-62; 75-30; 76-30; 77-9; 78-16; 79-37; 80-26; 81-33; 82-40; 83-48; 84-57; 85-48; 86-69; 87-32; 88-84; 89-68; 90-33; 91-32; 92-91; 93-68; 94-63; 95-92; 96-50; 97-43; 98-76; 99-53;
49 0-82; 1-92; 2-40; 3-66; 4-45; 5-97; 6-98; 7-74; 8-43; 9-13; 10-51; 11-24; 12-69; 13-98; 14-33; 15-0; 16-21; 17-74; 18-94; 19-92; 20-95; 21-62; 22-17; 23-38; 24-92; 25-53; 26-93; 27-19; 28-28; 29-47; 30-76; 31-48; 32-86; 33-67; 34-72; 35-89; 36-2; 37-21; 38-87; 39-7; 40-89; 41-49; 42-35; 43-84; 44-74; 45-44; 46-75; 47-79; 48-86; 50-24; 51-78; 52-41; 53-81; 54-8; 55-79; 56-70; 57-57; 58-73; 59-62; 60-78; 61-78; 62-20; 63-12; 64-11; 65-26; 66-49; 67-68; 68-49; 69-45; 70-81; 71-31; 72-42; 73-43; 74-85; 75-98; 76-50; 77-34; 78-96; 79-34; 80-34; 81-33; 82-19; 83-35; 84-54; 85-8; 86-89; 87-33; 88-87; 89-74; 90-29; 91-49; 92-42; 93-92; 94-60; 95-90; 96-83; 97-99; 98-80; 99-79;
50 0-19; 1-66; 2-11; 3-19; 4-72; 5-15; 6-39; 7-25; 8-19; 9-86; 10-65; 11-18; 12-39; 13-60; 14-45; 15-9; 16-18; 17-47; 18-21; 19-18; 20-94; 21-1; 22-9; 23-26; 24-71; 25-22; 26-21; 27-53; 28-60; 29-42; 30-55; 31-5; 32-41; 33-89; 34-97; 35-64; 36-76; 37-43; 38-70; 39-70; 40-36; 41-21; 42-80; 43-68; 44-14; 45-68; 46-51; 47-65; 48-17; 49-24; 51-29; 52-98; 53-51; 54-63; 55-67; 56-41; 57-19; 58-78; 59-74; 60-58; 61-81; 62-83; 63-3; 64-96; 65-39; 66-55; 67-58; 68-80; 69-73; 70-6; 71-54; 72-86; 73-86; 74-73; 75-48; 76-12; 77-71; 78-95; 79-71; 80-66; 81-85; 82-73; 83-2; 84-67; 85-24; 86-35; 87-96; 88-2; 89-18; 90-31; 91-66; 92-56; 93-92; 94-95; 95-15; 96-7; 97-63; 98-77; 99-80;
51 0-71; 1-77; 2-88; 3-85; 4-4; 5-37; 6-58; 7-5; 8-37; 9-12; 10-45; 11-75; 12-25; 13-77; 14-78; 15-27; 16-73; 17-48; 18-17; 19-50; 20-38; 21-45; 22-80; 23-72; 24-61; 25-14; 26-80; 27-29; 28-45; 29-18; 30-22; 31-56; 32-65; 33-32; 34-17; 35-38; 36-99; 37-59; 38-18; 39-0; 40-28; 41-47; 42-52; 43-63; 44-55; 45-20; 46-45; 47-31; 48-88; 49-78; 50-29; 52-21; 53-86; 54-70; 55-7; 56-21; 57-88; 58-35; 59-88; 60-74; 61-62; 62-75; 63-89; 64-71; 65-59; 66-44; 67-16; 68-81; 69-24; 70-86; 71-39; 72-44; 73-7; 74-92; 75-77; 76-46; 77-4; 78-34; 79-56; 80-49; 81-48; 82-62; 83-98; 84-79; 85-29; 86-2; 87-84; 88-74; 89-75; 90-66; 91-93; 92-68; 93-94; 94-86; 95-17; 96-53; 97-48; 98-32; 99-14;
52 0-29; 1-6; 2-75; 3-51; 4-22; 5-94; 6-51; 7-3; 8-6; 9-99; 10-21; 11-45; 12-85; 13-60; 14-82; 15-74; 16-41; 17-80; 18-63; 19-35; 20-46; 21-18; 22-0; 23-69; 24-15; 25-80; 26-10; 27-50; 28-55; 29-8; 30-46; 31-35; 32-9; 33-9; 34-63; 35-26; 36-82; 37-34; 38-12; 39-35; 40-72; 41-90; 42-79; 43-32; 44-40; 45-36; 46-1; 47-19; 48-63; 49-41; 50-98; 51-21; 53-77; 54-88; 55-11; 56-50; 57-83; 58-57; 59-57; 60-71; 61-34; 62-59; 63-24; 64-49; 65-86; 66-36; 67-45; 68-90; 69-98; 70-14; 71-95; 72-65; 73-80; 74-46; 75-91; 76-46; 77-12; 78-68; 79-2; 80-94; 81-20; 82-70; 83-87; 84-6; 85-77; 86-13; 87-82; 88-70; 89-19; 90-64; 91-51; 92-60; 93-97; 94-70; 95-74; 96-52; 97-50; 98-79; 99-14;
53 0-96; 1-85; 2-93; 3-38; 4-10; 5-68; 6-94; 7-88; 8-40; 9-68; 10-52; 11-48; 12-4; 13-55; 14-93; 15-45; 16-39; 17-95; 18-8; 19-67; 20-17; 21-34; 22-99; 23-90; 24-54; 25-18; 26-64; 27-27; 28-34; 29-31; 30-21; 31-21; 32-92; 33-66; 34-47; 35-24; 36-45; 37-36; 38-93; 39-40; 40-79; 41-0; 42-28; 43-74; 44-25; 45-28; 46-19; 47-25; 48-20; 49-81; 50-51; 51-86; 52-77; 54-19; 55-4; 56-15; 57-86; 58-25; 59-5; 60-42; 61-11; 62-21; 63-47; 64-36; 65-53; 66-30; 67-57; 68-52; 69-59; 70-61; 71-92; 72-27; 73-89; 74-5; 75-40; 76-41; 77-24; 78-45; 79-95; 80-41; 81-27; 82-89; 83-55; 84-97; 85-9; 86-40; 87-27; 88-61; 89-11; 90-21; 91-68; 92-55; 93-7; 94-44; 95-59; 96-45; 97-89; 98-50; 99-44;
